year,doy,hod,A(uso),A(pmax),E(uso),E(pmax),Ci(uso),Ci(pmax),gs(uso),gs(pmax),Pleaf(uso),Pleaf(pmax),Tleaf(uso),Tleaf(pmax),Rublim(uso),Rublim(pmax),ksc(pmax),VCsun(pmax),VCsha(pmax),Eci(uso),Eci(pmax),Es(uso),Es(pmax),sw(uso),sw(pmax),Ps(uso),Ps(pmax)
[-],[-],[h],[umol m-2 s-1],[umol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[Pa],[Pa],[mol m-2 s-1],[mol m-2 s-1],[MPa],[MPa],[degC],[degC],[-],[-],[mmol m-2 s-1 MPa-1],[-],[-],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[m3 m-3],[m3 m-3],[MPa],[MPa]
2016,303,13.0,4.3496371872155475,4.253581809970865,2.18924801,1.0931772066316712,34.04068351251721,29.832527706648268,0.07331134957283814,0.07870441644389901,0.0,-0.4410166337344118,21.923370735867966,22.019274070493008,False,False,5.081387900675947,0.9980981297404197,0.9980981297404197,0.0,0.0,0.02215169310092474,0.02215169310092474,0.079,0.079,-0.36844676716639596,-0.36844676716639596
2016,303,13.5,15.58724263504431,16.0313216287763,5.499007592,2.7458696918805985,34.51282086759599,38.40246857744758,0.13498601505468671,0.23814857064124556,0.0,-0.5861563668704434,22.91997696703281,23.147102438016116,False,False,5.081387900675947,0.996033724943549,0.996033724943549,0.0,0.0,0.07642429635914266,0.07642429635914266,0.079,0.079,-0.36844676716639596,-0.36844676716639596
2016,303,14.0,5.40286929167252,5.548368392153911,3.516295118,1.755823761049267,37.03109845247958,40.64082933869744,0.09135004593394899,0.14400143570778087,0.0,-0.5135865003024276,21.69826797775935,21.84581313828368,False,False,5.081387900675947,0.997180730645845,0.997180730645845,0.0,0.0,0.025882483332093715,0.025882483332093715,0.079,0.079,-0.36844676716639596,-0.36844676716639596
2016,303,14.5,0.21441149576750718,-0.00012813017397750315,3.5806429800000004,1.787955166770577,35.19391171928697,24.75887012667208,0.019851096249239468,0.1825573949910383,0.0,-0.5135865003024276,20.794181158698805,20.936906497607133,False,False,5.081387900675947,0.997180730645845,0.997180730645845,0.0,0.0,0.002226543372062344,0.002226543372062344,0.079,0.079,-0.36844676716639596,-0.36844676716639596
2016,303,15.0,-0.35685488791375375,-0.5819385972555684,2.118744968,1.0579722786561538,35.54668977371454,23.96110427039052,0.012092711725923801,0.11705468943097455,0.0,-0.4410166337344118,20.448823444553682,20.53703530640609,False,False,5.081387900675947,0.9980981297404197,0.9980981297404197,0.0,0.0,0.0,0.0,0.079,0.079,-0.36844676716639596,-0.36844676716639596
2016,303,15.5,4.914587343599296,5.076153888603321,3.43202515,1.7137444681594767,36.16521968311488,41.52197903717784,0.10036951470942176,0.23232552743901996,0.0,-0.5135865003024276,21.14914577133426,21.287175168038893,False,False,5.081387900675947,0.997180730645845,0.997180730645845,0.0,0.0,0.02202344789704047,0.02202344789704047,0.079,0.079,-0.36844676716639596,-0.36844676716639596
2016,303,16.0,3.238620434941277,1.6861330303209914,0.271415406,0.13552833393594405,36.06112722546001,18.59515482719531,0.07091937896805153,0.016937955322624713,0.0,-0.36844676716639596,20.80208129758539,20.814662455081663,False,False,5.081387900675947,0.9988050832911439,0.9988050832911439,0.0,0.0,0.013740076464294286,0.013740076464294286,0.079,0.079,-0.36844676716639596,-0.36844676716639596
2016,303,16.5,1.2888399744190266,0.9257311433245357,1.627938406,0.8128933547549487,35.56347098450565,25.455071519367714,0.038045781457650606,0.09054860325798998,0.0,-0.4410166337344118,21.249426713034197,21.31996544642598,False,False,5.081387900675947,0.9980981297404197,0.9980981297404197,0.0,0.0,0.0063624682932957345,0.0063624682932957345,0.079,0.079,-0.36844676716639596,-0.36844676716639596
2016,303,17.0,0.0880139475641375,-0.3619328348832256,1.119269376,0.5588950015416727,35.44701456453947,23.477162066432445,0.020988461226218124,0.059636781185461715,0.0,-0.40473170045040385,21.32345498407011,21.37285183456019,False,False,5.081387900675947,0.9984766554096351,0.9984766554096351,0.0,0.0,0.0018132174902111193,0.0018132174902111193,0.079,0.079,-0.36844676716639596,-0.36844676716639596
2016,303,17.5,-1.150802995810418,-1.59856269736989,1.038198046,0.5184129137825455,35.75081052542133,23.19428269124958,0.006519569369682868,0.06115095186906574,0.0,-0.40473170045040385,20.916160336938933,20.961851263715722,False,False,5.081387900675947,0.9984766554096351,0.9984766554096351,0.0,0.0,0.0,0.0,0.079,0.079,-0.36844676716639596,-0.36844676716639596
2016,303,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,5.081387900675947,0.9984766554096351,0.9984766554096351,0.0,0.0,0.0,0.0,0.079,0.079,-0.36844676716639596,-0.36844676716639596
2016,303,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,5.081387900675947,0.9984766554096351,0.9984766554096351,0.0,0.0,0.0,0.0,0.079,0.079,-0.36844676716639596,-0.36844676716639596
2016.0,303.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.081387900675947,0.9984766554096351,0.9984766554096351,0.0,0.0,0.0,0.0,0.079,0.079,-0.36844676716639596,-0.36844676716639596
2016.0,303.0,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.081387900675947,0.9984766554096351,0.9984766554096351,0.0,0.0,0.0,0.0,0.079,0.079,-0.36844676716639596,-0.36844676716639596
2016.0,303.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.081387900675947,0.9984766554096351,0.9984766554096351,0.0,0.0,0.0,0.0,0.079,0.079,-0.36844676716639596,-0.36844676716639596
