year,doy,hod,A(uso),A(pmax),E(uso),E(pmax),Ci(uso),Ci(pmax),gs(uso),gs(pmax),Pleaf(uso),Pleaf(pmax),Tleaf(uso),Tleaf(pmax),Rublim(uso),Rublim(pmax),ksc(pmax),VCsun(pmax),VCsha(pmax),Eci(uso),Eci(pmax),Es(uso),Es(pmax),sw(uso),sw(pmax),Ps(uso),Ps(pmax)
[-],[-],[h],[umol m-2 s-1],[umol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[Pa],[Pa],[mol m-2 s-1],[mol m-2 s-1],[MPa],[MPa],[degC],[degC],[-],[-],[mmol m-2 s-1 MPa-1],[-],[-],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[m3 m-3],[m3 m-3],[MPa],[MPa]
2016,303,15.5,3.217310427064503,3.4816182993092846,0.260546101064239,1.0066973049382313,34.7724323829967,41.74283692859181,0.05678009719068786,0.22597102429091678,0.0,-0.19195501519356045,24.008588780409287,23.97165212812903,False,False,6.01062767123044,0.9997787097651161,0.9990186958460769,0.0,0.0,0.03672190360069857,0.03672190360069857,0.11,0.11,-0.040217713132218724,-0.040217713132218724
2016,303,16.0,1.851386983795761,2.0275256598036124,0.15720502296195427,0.6458401677206074,34.567976029699885,41.71986471496824,0.03171973486930184,0.13524429986745043,0.0,-0.15402068967822502,24.30078712934233,24.29859260861619,False,False,6.01062767123044,0.9998747986717622,0.9990186958460769,0.0,0.0,0.02118336963740476,0.02118336963740476,0.11,0.11,-0.040217713132218724,-0.040217713132218724
2016,303,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,6.01062767123044,0.9998747986717622,0.9990186958460769,0.0,0.0,0.010420701674549662,0.010420701674549662,0.11,0.11,-0.040217713132218724,-0.040217713132218724
2016,303,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,6.01062767123044,0.9998747986717622,0.9990186958460769,0.0,0.0,0.004038136298296049,0.004038136298296049,0.11,0.11,-0.040217713132218724,-0.040217713132218724
2016.0,303.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.01062767123044,0.9998747986717622,0.9990186958460769,0.0,0.0,0.0,0.0,0.11,0.11,-0.040217713132218724,-0.040217713132218724
2016.0,303.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.01062767123044,0.9998747986717622,0.9990186958460769,0.0,0.0,0.0,0.0,0.109,0.109,-0.04275193063584228,-0.04275193063584228
2016.0,303.0,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.01062767123044,0.9998747986717622,0.9990186958460769,0.0,0.0,0.0,0.0,0.109,0.109,-0.04275193063584228,-0.04275193063584228
2016.0,303.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.01062767123044,0.9998747986717622,0.9990186958460769,0.0,0.0,0.0,0.0,0.109,0.109,-0.04275193063584228,-0.04275193063584228
2016.0,303.0,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.01062767123044,0.9998747986717622,0.9990186958460769,0.0,0.0,0.0,0.0,0.109,0.109,-0.04275193063584228,-0.04275193063584228
2016.0,303.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.01062767123044,0.9998747986717622,0.9990186958460769,0.0,0.0,0.0,0.0,0.109,0.109,-0.04275193063584228,-0.04275193063584228
2016.0,303.0,20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.01062767123044,0.9998747986717622,0.9990186958460769,0.0,0.0,0.0,0.0,0.109,0.109,-0.04275193063584228,-0.04275193063584228
2016.0,303.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.01062767123044,0.9998747986717622,0.9990186958460769,0.0,0.0,0.0,0.0,0.109,0.109,-0.04275193063584228,-0.04275193063584228
2016.0,303.0,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.01062767123044,0.9998747986717622,0.9990186958460769,0.0,0.0,0.0,0.0,0.109,0.109,-0.04275193063584228,-0.04275193063584228
2016.0,303.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.01062767123044,0.9998747986717622,0.9990186958460769,0.0,0.0,0.0,0.0,0.109,0.109,-0.04275193063584228,-0.04275193063584228
2016.0,303.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.01062767123044,0.9998747986717622,0.9990186958460769,0.0,0.0,0.0,0.0,0.109,0.109,-0.04275193063584228,-0.04275193063584228
2016.0,303.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.01062767123044,0.9998747986717622,0.9990186958460769,0.0,0.0,0.0,0.0,0.109,0.109,-0.04275193063584228,-0.04275193063584228
2016.0,303.0,23.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.01062767123044,0.9998747986717622,0.9990186958460769,0.0,0.0,0.0,0.0,0.109,0.109,-0.04275193063584228,-0.04275193063584228
2016.0,304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.01062767123044,0.9998747986717622,0.9990186958460769,0.0,0.0,0.0,0.0,0.109,0.109,-0.04275193063584228,-0.04275193063584228
2016.0,304.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.01062767123044,0.9998747986717622,0.9990186958460769,0.0,0.0,0.0,0.0,0.109,0.109,-0.04275193063584228,-0.04275193063584228
2016.0,304.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.01062767123044,0.9998747986717622,0.9990186958460769,0.0,0.0,0.0,0.0,0.109,0.109,-0.04275193063584228,-0.04275193063584228
2016.0,304.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.01062767123044,0.9998747986717622,0.9990186958460769,0.0,0.0,0.0,0.0,0.109,0.109,-0.04275193063584228,-0.04275193063584228
2016.0,304.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.01062767123044,0.9998747986717622,0.9990186958460769,0.0,0.0,0.0,0.0,0.109,0.109,-0.04275193063584228,-0.04275193063584228
2016.0,304.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.01062767123044,0.9998747986717622,0.9990186958460769,0.0,0.0,0.0,0.0,0.109,0.109,-0.04275193063584228,-0.04275193063584228
2016.0,304.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.01062767123044,0.9998747986717622,0.9990186958460769,0.0,0.0,0.0,0.0,0.109,0.109,-0.04275193063584228,-0.04275193063584228
2016.0,304.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.01062767123044,0.9998747986717622,0.9990186958460769,0.0,0.0,0.0,0.0,0.109,0.109,-0.04275193063584228,-0.04275193063584228
2016.0,304.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.01062767123044,0.9998747986717622,0.9990186958460769,0.0,0.0,0.0,0.0,0.109,0.109,-0.04275193063584228,-0.04275193063584228
2016.0,304.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.01062767123044,0.9998747986717622,0.9990186958460769,0.0,0.0,0.0,0.0,0.1085,0.1085,-0.04408758946698625,-0.04408758946698625
2016.0,304.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.01062767123044,0.9998747986717622,0.9990186958460769,0.0,0.0,0.0,0.0,0.108,0.108,-0.04547143795776919,-0.04547143795776919
2016,304,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,6.01062767123044,0.9998747986717622,0.9990186958460769,0.0,0.0,0.0033922236921889357,0.0033922236921889357,0.108,0.108,-0.04547143795776919,-0.04547143795776919
2016,304,6.0,1.9180872289604236,0.0,0.12934824896618052,0.0,39.08898091099131,0.0,0.03819000077260094,0.0,0.0,0.0,-2102.9461748635786,0.0,False,0.0,6.01062767123044,0.9998747986717622,0.9990186958460769,0.0,0.0,0.01933736178389494,0.01933736178389494,0.108,0.108,-0.04547143795776919,-0.04547143795776919
2016,304,6.5,3.4399433731558995,3.029245918350509,0.24508400854129755,1.0048046400474289,35.466092997983644,41.70463101116195,0.06609806931560994,0.29477311670596773,0.0,-0.31082691217426867,2687.6457596917385,22.10044069171758,False,False,6.010618949404005,0.9992302300479639,0.9999946676997226,0.0,0.0,0.03975448215293642,0.03975448215293642,0.108,0.108,-0.04547143795776919,-0.04547143795776919
2016,304,7.0,2.770677340806669,0.0,0.1739309882671087,0.0,36.189546720612974,0.0,0.058344341377462305,0.0,0.0,0.0,3648.583497217486,0.0,False,0.0,6.010618949404005,0.9992302300479639,0.9999946676997226,0.0,0.0,0.0760740811424286,0.0760740811424286,0.108,0.108,-0.04547143795776919,-0.04547143795776919
2016,304,7.5,4.246723381015062,0.0,0.3116113054186092,0.0,35.271936783613036,0.0,0.07990123360625864,0.0,0.0,0.0,4344.818267401004,0.0,False,0.0,6.010618949404005,0.9992302300479639,0.9999946676997226,0.0,0.0,0.1019690608808685,0.1019690608808685,0.108,0.108,-0.04547143795776919,-0.04547143795776919
2016,304,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,6.010618949404005,0.9992302300479639,0.9999946676997226,0.0,0.0,0.10200028333608867,0.10200028333608867,0.108,0.108,-0.04547143795776919,-0.04547143795776919
2016,304,8.5,6.431804545415945,0.0,0.7128983621291798,0.0,32.66649645357635,0.0,0.09267239827552194,0.0,0.0,0.0,6731.934881242875,0.0,False,0.0,6.010618949404005,0.9992302300479639,0.9999946676997226,0.0,0.0,0.14811243756859443,0.14811243756859443,0.108,0.108,-0.04547143795776919,-0.04547143795776919
2016,304,9.0,6.27749912467841,0.0,0.7750090769787723,0.0,31.96398797765668,0.0,0.08499224619735705,0.0,0.0,0.0,7995.0895487038715,0.0,False,0.0,6.010618949404005,0.9992302300479639,0.9999946676997226,0.0,0.0,0.1430985966407729,0.1430985966407729,0.108,0.108,-0.04547143795776919,-0.04547143795776919
2016,304,9.5,8.518463302016286,0.0,1.135205836415221,0.0,31.338712875283605,0.0,0.11059894042045317,0.0,0.0,0.0,9238.784132705538,0.0,False,0.0,6.010618949404005,0.9992302300479639,0.9999946676997226,0.0,0.0,0.12604130199741886,0.12604130199741886,0.108,0.108,-0.04547143795776919,-0.04547143795776919
2016,304,10.0,8.826872098314997,0.0,1.3257937556603268,0.0,30.503452771102502,0.0,0.10739492035559964,0.0,0.0,0.0,11177.392496673521,0.0,False,0.0,6.010618949404005,0.9992302300479639,0.9999946676997226,0.0,0.0,0.14648868096969306,0.14648868096969306,0.108,0.108,-0.04547143795776919,-0.04547143795776919
2016,304,10.5,7.3791989922779875,0.0,1.1199388783634652,0.0,30.498673037409528,0.0,0.08934613447646202,0.0,0.0,0.0,12048.786416768557,0.0,False,0.0,6.010618949404005,0.9992302300479639,0.9999946676997226,0.0,0.0,0.1289368157557561,0.1289368157557561,0.108,0.108,-0.04547143795776919,-0.04547143795776919
2016,304,11.0,4.752256435004757,0.0,0.738282655824363,0.0,30.458013061131098,0.0,0.05690019712014207,0.0,0.0,0.0,12460.8609353986,0.0,False,0.0,6.010618949404005,0.9992302300479639,0.9999946676997226,0.0,0.0,0.09066865338488805,0.09066865338488805,0.1075,0.1075,-0.046905450055852886,-0.046905450055852886
2016,304,11.5,4.382750498802049,0.0,0.7267587493108912,0.0,30.009848238151257,0.0,0.05059059542657488,0.0,0.0,0.0,13489.477296973899,0.0,False,0.0,6.010618949404005,0.9992302300479639,0.9999946676997226,0.0,0.0,0.09167233948103569,0.09167233948103569,0.107,0.107,-0.048391690295205986,-0.048391690295205986
