year,doy,hod,PPFD,Tair,VPD,E,A,height,Tleaf,sw,sw0,Ps,Pleaf,LAI,precip,u,coszen,Patm,CO2,O2,max_leaf_width,can_sat,kcanint,Vmax25,gamstar25,Tref,JV,Rlref,TRlref,Kc25,Ko25,alpha,c1,c2,c3,c4,eps_l,eps_s,albedo_l,albedo_l2,albedo_ws,albedo_ds,tau_l,chi_l,kn,Ev,Ej,Egamstar,Ec,Eo,deltaSv,deltaSj,Hdv,Hdj,T50,Tcrit,P50,P88,kmax,ratiocrit,gmin20,gminTp,Tp,g1,sfw,nPs,ground_area,Ztop,Zbottom,root_beta,Psie,hyds,theta_sat,fc,pwp,bch,r_soil
[-],[-],[-],[umol m-2 s-1],[deg C],[kPa],[mmol m-2 s-1],[umol m-2 s-1],[m],[deg C],[m3 m-3],[m3 m-3],[MPa],[MPa],[m2 m-2],[mm d-1],[m s-1],[-],[kPa],[Pa],[kPa],[m],[mm d-1],[-],[umol m-2 s-1],[Pa],[deg C],[-],[umol m-2 s-1],[deg C],[Pa],[Pa],[mol(photon) mol(e-)-1],[-],[-],[-],[-],[-],[-],[-],[-],[-],[-],[-],[-],[-],[J mol-1],[J mol-1],[J mol-1],[J mol-1],[J mol-1],[J mol-1 K-1],[J mol-1 K-1],[J mol-1],[J mol-1],[deg C],[deg C],[-MPa],[-MPa],[mmol m-2 s-1 MPa-1],[-],[mol m-2 s-1],[mol m-2 s-1],[deg C],[kPa0.5],[-],[MPa],[m2],[m],[m],[1^(cm-1)],[MPa],[m s-1],[m3 m-3],[m3 m-3],[m3 m-3],[-],[-]
2016,303,17.5,29.56466667,24.12166929,0.465544156,0.856838749,0.841110511,7.91,24.23116667,0.11,0.085,NA,NA,3.679574586,0,0.5,0.177018941,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,18,4.4489,23.79960251,0.478313701,0.836867628,-3.140042373,7.91,23.8265,0.109,0.085,NA,NA,3.679574586,0,0.5,0.071617359,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,18.5,0.0932,23.73218775,0.514200381,0.894549181,-2.743575809,7.91,23.66816667,0.109,0.085,NA,NA,3.679574586,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,19,0.001266667,23.34252977,0.479842033,0.964061628,-3.759565048,7.91,23.347,0.109,0.085,NA,NA,3.679574586,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,19.5,0.000866667,23.07705498,0.481503816,0.630692905,-2.891215118,7.91,23.00033333,0.109,0.085,NA,NA,3.679574586,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,20,0.000733333,22.89177608,0.500866539,0.570941597,-2.696567094,7.91,22.9145,0.109,0.085,NA,NA,3.679574586,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,20.5,0.000566667,22.82472992,0.533031361,0.567062676,-3.488824544,7.91,22.81033333,0.109,0.085,NA,NA,3.679574586,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,21,4.00E-04,22.49643803,0.538880853,0.481769861,-3.930608545,7.91,22.48066667,0.109,0.085,NA,NA,3.679574586,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,21.5,1.00E-04,22.25134373,0.549035395,0.439142729,-3.212874471,7.91,22.24583333,0.109,0.085,NA,NA,3.679574586,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,22,0.000133333,22.10903645,0.563512695,0.394510754,-4.033891998,7.91,22.124,0.109,0.085,NA,NA,3.679574586,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
